1, 1, 3, 0.000000
2, 3, 6, 0.030000
3, 6, 9, 0.089700
4, 7, 12, 0.158803
5, 12, 15, 0.277215
6, 13, 18, 0.404442
7, 14, 21, 0.540398
8, 15, 24, 0.684994
9, 24, 27, 0.918144
10, 25, 30, 1.158962
11, 26, 33, 1.407372
12, 27, 36, 1.663298
13, 28, 39, 1.926665
14, 29, 42, 2.197398
15, 30, 45, 2.475424
16, 31, 48, 2.760669
17, 48, 51, 3.213062
18, 49, 54, 3.670931
19, 50, 57, 4.134221
20, 51, 60, 4.602879
21, 52, 63, 5.076849
22, 53, 66, 5.556081
23, 54, 69, 6.040520
24, 55, 72, 6.530114
25, 56, 75, 7.024813
26, 57, 78, 7.524564
27, 58, 81, 8.029318
28, 59, 84, 8.539024
29, 60, 87, 9.053634
30, 61, 90, 9.573097
31, 62, 93, 10.097366
32, 63, 96, 10.626392
33, 96, 99, 11.480127
34, 97, 102, 12.335325
35, 98, 105, 13.191971
36, 99, 108, 14.050050
37, 100, 111, 14.909549
38, 101, 114, 15.770452
39, 102, 117, 16.632748
40, 103, 120, 17.496420
41, 104, 123, 18.361454
42, 105, 126, 19.227839
43, 106, 129, 20.095560
44, 107, 132, 20.964603
45, 108, 135, 21.834957
46, 109, 138, 22.706606
47, 110, 141, 23.579538
48, 111, 144, 24.453741
49, 112, 147, 25.329203
50, 113, 150, 26.205910
51, 114, 153, 27.083851
52, 115, 156, 27.963013
53, 116, 159, 28.843380
54, 117, 162, 29.724945
55, 118, 165, 30.607695
56, 119, 168, 31.491617
57, 120, 171, 32.376701
58, 121, 174, 33.262936
59, 122, 177, 34.150303
60, 123, 180, 35.038799
61, 124, 183, 35.928410
62, 125, 186, 36.819126
63, 126, 189, 37.710934
64, 127, 192, 38.603825
65, 192, 195, 40.137783
66, 193, 198, 41.666401
67, 194, 201, 43.189735
68, 195, 204, 44.707836
69, 196, 207, 46.220757
70, 197, 210, 47.728546
71, 198, 213, 49.231262
72, 199, 216, 50.728947
73, 200, 219, 52.221657
74, 201, 222, 53.709438
75, 202, 225, 55.192341
76, 203, 228, 56.670418
77, 204, 231, 58.143711
78, 205, 234, 59.612274
79, 206, 237, 61.076149
80, 207, 240, 62.535389
81, 208, 243, 63.990032
82, 209, 246, 65.440132
83, 210, 249, 66.885727
84, 211, 252, 68.326874
85, 212, 255, 69.763603
86, 213, 258, 71.195969
87, 214, 261, 72.624008
88, 215, 264, 74.047768
89, 216, 267, 75.467285
90, 217, 270, 76.882614
91, 218, 273, 78.293793
92, 219, 276, 79.700851
93, 220, 279, 81.103844
94, 221, 282, 82.502808
95, 222, 285, 83.897781
96, 223, 288, 85.288803
97, 224, 291, 86.675911
98, 225, 294, 88.059151
99, 226, 297, 89.438553
100, 227, 300, 90.814163
101, 228, 303, 92.186020
102, 229, 306, 93.554161
103, 230, 309, 94.918617
104, 231, 312, 96.279427
105, 232, 315, 97.636635
106, 233, 318, 98.990265
107, 234, 321, 100.340363
108, 235, 324, 101.686958
109, 236, 327, 103.030090
110, 237, 330, 104.369789
111, 238, 333, 105.706093
112, 239, 336, 107.039032
113, 240, 339, 108.368637
114, 241, 342, 109.694946
115, 242, 345, 111.017998
116, 243, 348, 112.337822
117, 244, 351, 113.654442
118, 245, 354, 114.967896
119, 246, 357, 116.278214
120, 247, 360, 117.585434
121, 248, 363, 118.889580
122, 249, 366, 120.190681
123, 250, 369, 121.488777
124, 251, 372, 122.783882
125, 252, 375, 124.076042
126, 253, 378, 125.365280
127, 254, 381, 126.651627
128, 255, 384, 127.935104
129, 384, 387, 130.495758
130, 385, 390, 133.040787
131, 386, 393, 135.570374
132, 387, 396, 138.084671
133, 388, 399, 140.583817
134, 389, 402, 143.067978
135, 390, 405, 145.537292
136, 391, 408, 147.991928
137, 392, 411, 150.432007
138, 393, 414, 152.857681
139, 394, 417, 155.269104
140, 395, 420, 157.666412
141, 396, 423, 160.049744
142, 397, 426, 162.419250
143, 398, 429, 164.775055
144, 399, 432, 167.117294
145, 400, 435, 169.446121
146, 401, 438, 171.761658
147, 402, 441, 174.064026
148, 403, 444, 176.353394
149, 404, 447, 178.629852
150, 405, 450, 180.893555
151, 406, 453, 183.144623
152, 407, 456, 185.383163
153, 408, 459, 187.609329
154, 409, 462, 189.823227
155, 410, 465, 192.024994
156, 411, 468, 194.214752
157, 412, 471, 196.392609
158, 413, 474, 198.558670
159, 414, 477, 200.713089
160, 415, 480, 202.855957
161, 416, 483, 204.987396
162, 417, 486, 207.107529
163, 418, 489, 209.216446
164, 419, 492, 211.314285
165, 420, 495, 213.401138
166, 421, 498, 215.477127
167, 422, 501, 217.542358
168, 423, 504, 219.596939
169, 424, 507, 221.640961
170, 425, 510, 223.674561
171, 426, 513, 225.697815
172, 427, 516, 227.710831
173, 428, 519, 229.713730
174, 429, 522, 231.706589
175, 430, 525, 233.689529
176, 431, 528, 235.662628
177, 432, 531, 237.625992
178, 433, 534, 239.579742
179, 434, 537, 241.523941
180, 435, 540, 243.458694
181, 436, 543, 245.384109
182, 437, 546, 247.300262
183, 438, 549, 249.207245
184, 439, 552, 251.105179
185, 440, 555, 252.994125
186, 441, 558, 254.874176
187, 442, 561, 256.745422
188, 443, 564, 258.607971
189, 444, 567, 260.461884
190, 445, 570, 262.307251
191, 446, 573, 264.144165
192, 447, 576, 265.972717
193, 448, 579, 267.792969
194, 449, 582, 269.605042
195, 450, 585, 271.408997
196, 451, 588, 273.204926
197, 452, 591, 274.992859
198, 453, 594, 276.772919
199, 454, 597, 278.545197
200, 455, 600, 280.309723
201, 456, 603, 282.066620
202, 457, 606, 283.815948
203, 458, 609, 285.557770
204, 459, 612, 287.292206
205, 460, 615, 289.019287
206, 461, 618, 290.739075
207, 462, 621, 292.451691
208, 463, 624, 294.157196
209, 464, 627, 295.855621
210, 465, 630, 297.547058
211, 466, 633, 299.231598
212, 467, 636, 300.909271
213, 468, 639, 302.580170
214, 469, 642, 304.244385
215, 470, 645, 305.901917
216, 471, 648, 307.552887
217, 472, 651, 309.197357
218, 473, 654, 310.835388
219, 474, 657, 312.467041
220, 475, 660, 314.092377
221, 476, 663, 315.711456
222, 477, 666, 317.324341
223, 478, 669, 318.931091
224, 479, 672, 320.531799
225, 480, 675, 322.126465
226, 481, 678, 323.715210
227, 482, 681, 325.298065
228, 483, 684, 326.875061
229, 484, 687, 328.446320
230, 485, 690, 330.011871
231, 486, 693, 331.571747
232, 487, 696, 333.126038
233, 488, 699, 334.674774
234, 489, 702, 336.218018
235, 490, 705, 337.755829
236, 491, 708, 339.288269
237, 492, 711, 340.815369
238, 493, 714, 342.337219
239, 494, 717, 343.853851
240, 495, 720, 345.365295
241, 496, 723, 346.871643
242, 497, 726, 348.372925
243, 498, 729, 349.869171
244, 499, 732, 351.360474
245, 500, 735, 352.846863
246, 501, 738, 354.328400
247, 502, 741, 355.805115
248, 503, 744, 357.277069
249, 504, 747, 358.744324
250, 505, 750, 360.206879
251, 506, 753, 361.664825
252, 507, 756, 363.118195
253, 508, 759, 364.567017
254, 509, 762, 366.011353
255, 510, 765, 367.451263
256, 511, 768, 368.886749
257, 768, 771, 372.877869
258, 769, 774, 376.839081
259, 770, 777, 380.770660
260, 771, 780, 384.672943
261, 772, 783, 388.546204
262, 773, 786, 392.390717
263, 774, 789, 396.206818
264, 775, 792, 399.994751
265, 776, 795, 403.754791
266, 777, 798, 407.487244
267, 778, 801, 411.192383
268, 779, 804, 414.870453
269, 780, 807, 418.521729
270, 781, 810, 422.146515
271, 782, 813, 425.745056
272, 783, 816, 429.317596
273, 784, 819, 432.864410
274, 785, 822, 436.385773
275, 786, 825, 439.881897
276, 787, 828, 443.353088
277, 788, 831, 446.799561
278, 789, 834, 450.221558
279, 790, 837, 453.619354
280, 791, 840, 456.993164
281, 792, 843, 460.343231
282, 793, 846, 463.669800
283, 794, 849, 466.973114
284, 795, 852, 470.253357
285, 796, 855, 473.510834
286, 797, 858, 476.745728
287, 798, 861, 479.958252
288, 799, 864, 483.148651
289, 800, 867, 486.317169
290, 801, 870, 489.463989
291, 802, 873, 492.589355
292, 803, 876, 495.693451
293, 804, 879, 498.776489
294, 805, 882, 501.838715
295, 806, 885, 504.880341
296, 807, 888, 507.901550
297, 808, 891, 510.902527
298, 809, 894, 513.883484
299, 810, 897, 516.844666
300, 811, 900, 519.786255
301, 812, 903, 522.708374
302, 813, 906, 525.611328
303, 814, 909, 528.495239
304, 815, 912, 531.360229
305, 816, 915, 534.206604
306, 817, 918, 537.034546
307, 818, 921, 539.844177
308, 819, 924, 542.635742
309, 820, 927, 545.409424
310, 821, 930, 548.165344
311, 822, 933, 550.903687
312, 823, 936, 553.624634
313, 824, 939, 556.328369
314, 825, 942, 559.015076
315, 826, 945, 561.684937
316, 827, 948, 564.338135
317, 828, 951, 566.974731
318, 829, 954, 569.594971
319, 830, 957, 572.199036
320, 831, 960, 574.787048
321, 832, 963, 577.359192
322, 833, 966, 579.915649
323, 834, 969, 582.456482
324, 835, 972, 584.981873
325, 836, 975, 587.492065
326, 837, 978, 589.987122
327, 838, 981, 592.467285
328, 839, 984, 594.932617
329, 840, 987, 597.383240
330, 841, 990, 599.819397
331, 842, 993, 602.241211
332, 843, 996, 604.648804
333, 844, 999, 607.042297
334, 845, 1002, 609.421875
335, 846, 1005, 611.787598
336, 847, 1008, 614.139709
337, 848, 1011, 616.478271
338, 849, 1014, 618.803467
339, 850, 1017, 621.115417
340, 851, 1020, 623.414307
341, 852, 1023, 625.700195
342, 853, 1026, 627.973145
343, 854, 1029, 630.233398
344, 855, 1032, 632.481079
345, 856, 1035, 634.716248
346, 857, 1038, 636.939087
347, 858, 1041, 639.149719
348, 859, 1044, 641.348206
349, 860, 1047, 643.534729
350, 861, 1050, 645.709351
351, 862, 1053, 647.872253
352, 863, 1056, 650.023560
353, 864, 1059, 652.163330
354, 865, 1062, 654.291687
355, 866, 1065, 656.408752
356, 867, 1068, 658.514648
357, 868, 1071, 660.609497
358, 869, 1074, 662.693420
359, 870, 1077, 664.766479
360, 871, 1080, 666.828857
361, 872, 1083, 668.880554
362, 873, 1086, 670.921753
363, 874, 1089, 672.952515
364, 875, 1092, 674.973022
365, 876, 1095, 676.983337
366, 877, 1098, 678.983521
367, 878, 1101, 680.973633
368, 879, 1104, 682.953857
369, 880, 1107, 684.924316
370, 881, 1110, 686.885071
371, 882, 1113, 688.836243
372, 883, 1116, 690.777893
373, 884, 1119, 692.710083
374, 885, 1122, 694.632935
375, 886, 1125, 696.546570
376, 887, 1128, 698.451111
377, 888, 1131, 700.346619
378, 889, 1134, 702.233154
379, 890, 1137, 704.110779
380, 891, 1140, 705.979675
381, 892, 1143, 707.839844
382, 893, 1146, 709.691467
383, 894, 1149, 711.534546
384, 895, 1152, 713.369202
385, 896, 1155, 715.195557
386, 897, 1158, 717.013550
387, 898, 1161, 718.823425
388, 899, 1164, 720.625183
389, 900, 1167, 722.418945
390, 901, 1170, 724.204773
391, 902, 1173, 725.982727
392, 903, 1176, 727.752869
393, 904, 1179, 729.515320
394, 905, 1182, 731.270142
395, 906, 1185, 733.017456
396, 907, 1188, 734.757324
397, 908, 1191, 736.489746
398, 909, 1194, 738.214844
399, 910, 1197, 739.932678
400, 911, 1200, 741.643372
401, 912, 1203, 743.346924
402, 913, 1206, 745.043457
403, 914, 1209, 746.733032
404, 915, 1212, 748.415649
405, 916, 1215, 750.091492
406, 917, 1218, 751.760559
407, 918, 1221, 753.422974
408, 919, 1224, 755.078735
409, 920, 1227, 756.727966
410, 921, 1230, 758.370728
411, 922, 1233, 760.007019
412, 923, 1236, 761.636963
413, 924, 1239, 763.260620
414, 925, 1242, 764.877991
415, 926, 1245, 766.489258
416, 927, 1248, 768.094421
417, 928, 1251, 769.693481
418, 929, 1254, 771.286560
419, 930, 1257, 772.873718
420, 931, 1260, 774.454956
421, 932, 1263, 776.030396
422, 933, 1266, 777.600098
423, 934, 1269, 779.164062
424, 935, 1272, 780.722412
425, 936, 1275, 782.275208
426, 937, 1278, 783.822449
427, 938, 1281, 785.364258
428, 939, 1284, 786.900635
429, 940, 1287, 788.431580
430, 941, 1290, 789.957214
431, 942, 1293, 791.477661
432, 943, 1296, 792.992859
433, 944, 1299, 794.502930
434, 945, 1302, 796.007935
435, 946, 1305, 797.507812
436, 947, 1308, 799.002686
437, 948, 1311, 800.492676
438, 949, 1314, 801.977722
439, 950, 1317, 803.457947
440, 951, 1320, 804.933411
441, 952, 1323, 806.404114
442, 953, 1326, 807.870056
443, 954, 1329, 809.331360
444, 955, 1332, 810.788025
445, 956, 1335, 812.240173
446, 957, 1338, 813.687805
447, 958, 1341, 815.130981
448, 959, 1344, 816.569641
449, 960, 1347, 818.003906
450, 961, 1350, 819.433838
451, 962, 1353, 820.859497
452, 963, 1356, 822.280945
453, 964, 1359, 823.698181
454, 965, 1362, 825.111145
455, 966, 1365, 826.520020
456, 967, 1368, 827.924805
457, 968, 1371, 829.325562
458, 969, 1374, 830.722290
459, 970, 1377, 832.115112
460, 971, 1380, 833.503906
461, 972, 1383, 834.888855
462, 973, 1386, 836.269958
463, 974, 1389, 837.647278
464, 975, 1392, 839.020813
465, 976, 1395, 840.390625
466, 977, 1398, 841.756775
467, 978, 1401, 843.119202
468, 979, 1404, 844.477966
469, 980, 1407, 845.833191
470, 981, 1410, 847.184875
471, 982, 1413, 848.533020
472, 983, 1416, 849.877686
473, 984, 1419, 851.218872
474, 985, 1422, 852.556641
475, 986, 1425, 853.891052
476, 987, 1428, 855.222168
477, 988, 1431, 856.549988
478, 989, 1434, 857.874512
479, 990, 1437, 859.195740
480, 991, 1440, 860.513794
481, 992, 1443, 861.828674
482, 993, 1446, 863.140381
483, 994, 1449, 864.448975
484, 995, 1452, 865.754517
485, 996, 1455, 867.056946
486, 997, 1458, 868.356384
487, 998, 1461, 869.652832
488, 999, 1464, 870.946289
489, 1000, 1467, 872.236816
490, 1001, 1470, 873.524475
491, 1002, 1473, 874.809265
492, 1003, 1476, 876.091125
493, 1004, 1479, 877.370178
494, 1005, 1482, 878.646484
495, 1006, 1485, 879.920044
496, 1007, 1488, 881.190857
497, 1008, 1491, 882.458984
498, 1009, 1494, 883.724365
499, 1010, 1497, 884.987122
500, 1011, 1500, 886.247253
501, 1012, 1503, 887.504761
502, 1013, 1506, 888.759705
503, 1014, 1509, 890.012146
504, 1015, 1512, 891.262024
505, 1016, 1515, 892.509399
506, 1017, 1518, 893.754272
507, 1018, 1521, 894.996704
508, 1019, 1524, 896.236755
509, 1020, 1527, 897.474426
510, 1021, 1530, 898.709656
511, 1022, 1533, 899.942566
512, 1023, 1536, 901.173157
513, 1536, 1539, 907.521423
514, 1537, 1542, 913.816223
515, 1538, 1545, 920.058044
516, 1539, 1548, 926.247498
517, 1540, 1551, 932.385010
518, 1541, 1554, 938.471130
519, 1542, 1557, 944.506409
520, 1543, 1560, 950.491333
521, 1544, 1563, 956.426453
522, 1545, 1566, 962.312195
523, 1546, 1569, 968.149048
524, 1547, 1572, 973.937561
525, 1548, 1575, 979.678162
526, 1549, 1578, 985.371399
527, 1550, 1581, 991.017700
528, 1551, 1584, 996.617554
